,Species,Number of Specimens
324,Catharus aurantiirostris,9
325,Myrmotherula brachyura,9
326,Epinecrophylla ornata,9
327,Ramphastos tucanus,9
328,Tityra semifasciata,9
329,Synallaxis albigularis,9
330,Phaeomyias murina,9
331,Lanio versicolor,9
332,Rhegmatorhina cristata,9
333,Myiornis ecaudatus,9
334,Inezia subflava,9
335,Tyrannulus elatus,9
336,Saltator grossus,9
337,Conirostrum margaritae,9
338,Hemitriccus striaticollis,9
339,Roraimia adusta,9
340,Epinecrophylla erythrura,9
341,Phoenicircus nigricollis,9
342,Tangara mexicana,8
343,Nemosia pileata,8
344,Cyanocorax hafferi,8
345,Microcerculus bambla,8
346,Hylexetastes stresemanni,8
347,Galbula dea,8
348,Myrmotherula surinamensis,8
349,Dendrocolaptes hoffmannsi,8
350,Tyrannus savana,8
351,Pteroglossus inscriptus,8
352,Xiphocolaptes promeropirhynchus,8
353,Tachyphonus rufus,8
354,Poecilotriccus latirostris,8
355,Sporophila plumbea,8
356,Baryphthengus martii,8
357,Trogon collaris,8
358,Hylocharis sapphirina,8
359,Geothlypis aequinoctialis,8
360,Pachysylvia muscicapina,8
361,Cranioleuca vulpecula,8
362,Myioborus miniatus,8
363,Hypocnemis ochrogyna,8
364,Xiphorhynchus guttatoides,8
365,Heliothryx auritus,8
366,Myrmelastes rufifacies,8
367,Crotophaga major,7
368,Coccycua minuta,7
369,Sporophila nigricollis,7
370,Cyanerpes nitidus,7
371,Phaethornis augusti,7
372,Ammodramus aurifrons,7
373,Pulsatrix perspicillata,7
374,Pteroglossus azara,7
375,Sturnella militaris,7
376,Myrmochanes hemileucus,7
377,Automolus rufipileatus,7
378,Hylophilus brunneiceps,7
379,Coccyzus melacoryphus,7
380,Attila bolivianus,7
381,Hylocharis cyanus,7
382,Myiothlypis rivularis,7
383,Tangara velia,7
384,Chelidoptera tenebrosa,7
385,Psittacara leucophthalmus,7
386,Accipiter superciliosus,7
387,Tangara cayana,7
388,Celeus torquatus,7
389,Veniliornis cassini,7
390,Capsiempis flaveola,7
391,Caryothraustes canadensis,7
392,Turdus hauxwelli,7
393,Hirundo rustica,7
394,Stelgidopteryx ruficollis,7
395,Euphonia plumbea,7
396,Sporophila castaneiventris,7
397,Myrmelastes humaythae,7
398,Pachyramphus rufus,7
399,Psophia crepitans,7
400,Piaya cayana,6
401,Penelope jacquacu,6
402,Dacnis lineata,6
403,Cacicus haemorrhous,6
404,Galbalcyrhynchus leucotis,6
405,Selenidera piperivora,6
406,Nonnula rubecula,6
407,Ochthornis littoralis,6
408,Mimus gilvus,6
409,Pachyramphus marginatus,6
410,Heliomaster longirostris,6
411,Knipolegus orenocensis,6
412,Empidonomus varius,6
413,Heliornis fulica,6
414,Myiopagis caniceps,6
415,Porphyrio martinicus,6
416,Pluvialis dominica,6
417,Microcerculus ustulatus,6
418,Certhiaxis cinnamomeus,6
419,Pteroglossus bitorquatus,6
420,Chlorostilbon mellisugus,6
421,Camptostoma obsoletum,6
422,Heliodoxa schreibersii,6
423,Crypturellus variegatus,6
424,Dacnis flaviventer,6
425,Euphonia xanthogaster,6
426,Vireo sclateri,6
427,Philohydor lictor,6
428,Herpsilochmus praedictus,6
429,Sporophila intermedia,6
430,Euphonia rufiventris,6
431,Galbula ruficauda,6
432,Nonnula ruficapilla,6
433,Chordeiles rupestris,6
434,Psophia ochroptera,6
435,Zonotrichia capensis,6
436,Atlapetes personatus,5
437,Chloroceryle amazona,5
438,Neoctantes niger,5
439,Procnias albus,5
440,Galbalcyrhynchus purusianus,5
441,Myiophobus fasciatus,5
442,Euphonia chrysopasta,5
443,Estrilda astrild,5
444,Chrysolampis mosquitus,5
445,Coragyps atratus,5
446,Selenidera reinwardtii,5
447,Piculus leucolaemus,5
448,Myiothlypis fulvicauda,5
449,Phlegopsis borbae,5
450,Microxenops milleri,5
451,Micrastur mintoni,5
452,Capito niger,5
453,Melanerpes cruentatus,5
454,Ramphocelus nigrogularis,5
455,Chlorophonia cyanea,5
456,Celeus undatus,5
457,Tangara guttata,5
458,Herpsilochmus rufimarginatus,5
459,Ancistrops strigilatus,5
460,Pachyramphus minor,5
461,Megascops usta,5
462,Tyranneutes virescens,5
463,Hydropsalis torquata,5
464,Cranioleuca demissa,5
465,Tangara gyrola,5
466,Veniliornis passerinus,5
467,Herpsilochmus sticturus,5
468,Thripophaga fusciceps,5
469,Topaza pella,5
470,Hemitriccus griseipectus,5
471,Piculus chrysochloros,5
472,Willisornis vidua,5
473,Conopias trivirgatus,5
474,Myioborus castaneocapilla,5
475,Tangara chilensis,5
476,Periporphyrus erythromelas,5
477,Lanio luctuosus,5
478,Elaenia spectabilis,5
479,Charadrius collaris,5
480,Myiarchus tuberculifer,5
481,Hemithraupis guira,4
482,Strix virgata,4
483,Pygochelidon melanoleuca,4
484,Hylopezus macularius,4
485,Elaenia olivina,4
486,Furnarius minor,4
487,Caracara cheriway,4
488,Polioptila plumbea,4
489,Sublegatus obscurior,4
490,Chloroceryle americana,4
491,Pachysylvia hypoxantha,4
492,Liosceles thoracicus,4
493,Conopophaga melanogaster,4
494,Tyto furcata,4
495,Pyriglena leuconota,4
496,Cantorchilus griseus,4
497,Lurocalis semitorquatus,4
498,Crax alector,4
499,Hylophilus pectoralis,4
500,Herpsilochmus roraimae,4
501,Piranga lutea,4
502,Pionus menstruus,4
503,Sporophila lineola,4
504,Dryocopus lineatus,4
505,Myrmothera simplex,4
506,Doryfera johannae,4
507,Querula purpurata,4
508,Cyanerpes cyaneus,4
509,Arremonops conirostris,4
510,Asio clamator,4
511,Campylopterus duidae,4
512,Donacobius atricapilla,4
513,Colibri delphinae,4
514,Odontophorus gujanensis,4
515,Poecilotriccus fumifrons,4
516,Pachyramphus surinamus,4
517,Lepidocolaptes duidae,4
518,Tangara xanthogastra,4
519,Granatellus pelzelni,4
